Empresa,Año,Activos_Millones,Capital_Accs_Millones,Ingresos_Millones,Ingreso_%_cambio_Año_Anterior,Utilidad_Millones,Utilidad_%_Ventas,Utilidad_%_Año_Anterior,Utilidad_%_Activos,Valor_Mercado_Millones,Cambio_%_Valor_Mercado,Empleados,Ventas_empleado,Resultados_Empleado,ROE,Rotación_Activos,Multiplicador_Capital,Industria,Vía de desarrollo
Brembo,2012,1727.72852,512.88064,1777.45536,1.931575305,99.6416,5.605856678,68.92005636,5.767202361,4300,0,6637,267810.0588,15013.04806,0.194278341,1.028781628,3.368675644,Autopartes,Neoliberal predominante
Brembo,2013,1727.72852,574.8925,2082.97019,17.18832646,118.39128,5.683772172,18.81712056,6.852423782,4300,0,7241,287663.3324,16350.12844,0.205936379,1.205611973,3.005307114,Autopartes,Neoliberal predominante
Brembo,2014,1998.30106,571.24431,2398.43555,15.14497718,171.64182,7.156407434,44.97843084,8.589387427,4300,0,7690,311890.1886,22320.13264,0.300470074,1.200237341,3.498154861,Autopartes,Neoliberal predominante
Brembo,2015,1758.84828,652.17717,2301.30306,-4.04982698,204.27885,8.876660078,19.01461427,11.61435312,4300,0,7867,292526.1294,25966.55015,0.313226006,1.308414766,2.696887228,Autopartes,Neoliberal predominante
Brembo,2016,2180.62164,979.3641,2529.79656,9.928874818,267.10152,10.55822133,30.7533893,12.24887046,4300,0,9042,279782.8534,29540.0929,0.27272954,1.160126321,2.226568893,Autopartes,Neoliberal predominante
Brembo,2017,2598.42822,1202.81381,2783.8906,10.04405034,297.67364,10.69272047,11.4458802,11.4559116,4300,0,9837,283001.9925,30260.61198,0.247481063,1.071374833,2.160291309,Autopartes,Neoliberal predominante
Brembo,2018,2986.62012,1450.00996,3115.21298,11.90141524,281.25182,9.028333594,-5.516719586,9.417060379,4300,0,10634,292948.3713,26448.35622,0.19396544,1.043056316,2.059723866,Autopartes,Neoliberal predominante
Brembo,2019,3071.58992,1554.5768,2902.6704,-6.822730303,259.05712,8.924785949,-7.891397823,8.433974806,4300,0,10868,267084.1369,23836.68752,0.166641571,0.945005836,1.975836716,Autopartes,Neoliberal predominante
Brembo,2020,3616.93044,1688.38674,2517.84846,-13.25751418,155.64762,6.181770765,-39.91764442,4.303306978,4300,0,11039,228086.6437,14099.79346,0.092187185,0.696128527,2.142240492,Autopartes,Neoliberal predominante
Brembo,2021,4346.28102,2119.4216,3277.51608,30.1713003,254.33366,7.759951555,63.40350081,5.851753691,4590,6.744186047,12225,268099.4748,20804.38937,0.120001448,0.754096678,2.050692047,Autopartes,Neoliberal predominante
Brembo,2022,4037.3676,2044.36365,3810.46155,16.26065157,307.47255,8.069168156,20.89337683,7.615668932,3600,-21.56862745,12956,294107.8689,23732.05851,0.150400126,0.943798516,1.974877415,Autopartes,Neoliberal predominante
Brembo,2023,4536.813043,2247.603261,4183.915217,9.800746248,334.0206522,7.983446959,8.634299931,7.362451328,4000,11.11111111,13654,306424.1407,24463.20874,0.148611927,0.922214598,2.018511506,Autopartes,Neoliberal predominante
Brembo,2024,5032.706522,2493.993478,4174.611957,-0.222357777,289.4793478,6.934281577,-13.33489533,5.751961625,3400,-15,14348,290954.2763,20175.58878,0.116070611,0.829496403,2.017930907,Autopartes,Neoliberal predominante
BYD,2011,10348.29584,3268.531177,7165.75615,2.531633821,214.9726845,3,-37.83635973,2.077372815,7360,0,170000,42151.50677,1264.545203,0.065770425,0.692457605,3.166038589,OEM,Asiática
BYD,2012,11095.97055,3359.641165,7034.196821,-1.835944834,14.06839364,0.2,-93.45572966,0.126788311,7470,1.494565217,166000,42374.67964,84.74935928,0.004187469,0.633941555,3.302724907,OEM,Asiática
BYD,2013,12689.87833,3531.306158,8095.235206,15.08400195,80.95235206,1,475.4200097,0.637928512,13610,82.19544846,159000,50913.42897,509.1342897,0.022924195,0.637928512,3.593536715,OEM,Asiática
BYD,2014,15256.22444,4116.455209,8985.1321,10.99284791,718.810568,8,787.9427833,4.711588839,13200,-3.012490816,190000,47290.16895,3783.213516,0.174618824,0.588948605,3.706155822,OEM,Asiática
BYD,2015,18381.54854,5140.211056,12353.28521,37.48584967,444.7182676,3.6,-38.13136765,2.419373247,20550,55.68181818,200000,61766.42606,2223.591338,0.086517511,0.672048124,3.576029921,OEM,Asiática
BYD,2016,21848.00873,7719.266416,15091.52154,22.16605767,754.5760768,5,69.6750801,3.453752175,17780,-13.47931873,194000,77791.34812,3889.567406,0.097752304,0.690750435,2.830321893,OEM,Asiática
BYD,2017,26822.20331,8283.764157,15459.42982,2.437847518,740.5024096,4.789972323,-1.865109112,2.760781435,26030,46.40044994,201000,76912.58617,3684.09159,0.08939202,0.576366887,3.237924548,OEM,Asiática
BYD,2018,29440.32032,8351.988047,18428.04131,19.20259365,423.8449501,2.3,-42.76251575,1.439675063,19280,-25.93161736,221000,83384.8023,1917.850453,0.050747792,0.625945679,3.524947612,OEM,Asiática
BYD,2019,28320.60813,8216.772919,17628.30836,-4.339760973,229.1680087,1.3,-45.93116925,0.809191694,16940,-12.13692946,229000,76979.5125,1000.733663,0.027890269,0.622455149,3.446682585,OEM,Asiática
BYD,2020,29115.22276,8237.634194,22228.38041,26.09480132,622.3946514,2.8,171.5888028,2.137694966,78030,360.6257379,224300,99101.11639,2774.831259,0.075555024,0.763462488,3.534415595,OEM,Asiática
BYD,2021,46564.2,14966.7,32758,47.37016104,472.1,1.441174675,-24.14780574,1.013869024,122490,56.97808535,288186,113669.6439,1638.178121,0.03154336,0.703501832,3.111186835,OEM,Asiática
BYD,2022,71603.1,16097.7,63040.8,92.44398315,2471.1,3.919842388,423.42724,3.451107564,93890,-23.3488448,570060,110586.2541,4334.806862,0.153506402,0.880419982,4.448032949,OEM,Asiática
BYD,2023,108498.0402,19605.94209,85072.78955,34.94877849,4243.05226,4.987555107,71.70702359,3.910717883,80760,-13.98444989,703504,120927.2293,6031.312203,0.216416648,0.784095173,5.533936582,OEM,Asiática
BYD,2024,95981.30932,25658.04709,107631.9183,26.5174433,5575.394737,5.180057018,31.40056722,5.808833799,109730,35.87171867,968900,111086.7151,5754.355183,0.217296146,1.121384143,3.740787792,OEM,Asiática
CATL,2016,4288.247152,2323.296938,2231.834265,0,427.7282237,19.16487395,0,9.974430311,23550,0,30182,73945.87054,14171.63288,0.184103985,0.520453739,1.845759395,My/oS electrónicos,Asiática
CATL,2017,7350.103096,3655.816017,2959.53533,32.60551541,573.8789842,19.39084756,34.16907101,7.807767819,23550,0,30182,98056.30276,19013.94819,0.156976987,0.40265222,2.010523249,My/oS electrónicos,Asiática
CATL,2018,11156.43931,4972.170424,4471.30108,51.08118613,511.4423164,11.43833321,-10.87976203,4.584279105,23550,0,30182,148144.6253,16945.27587,0.102860979,0.400782091,2.243776533,My/oS electrónicos,Asiática
CATL,2019,14696.03662,5529.572665,6639.262993,48.48615367,661.2445769,9.959608132,29.29015762,4.499475565,33630,42.80254777,26775,247965.0044,24696.34274,0.119583305,0.451772349,2.657716521,My/oS electrónicos,Asiática
CATL,2020,22553.05267,6653.941858,7246.006228,9.138713677,804.0859959,11.09695425,21.60190404,3.565308908,125400,272.8813559,33078,219058.1725,24308.78517,0.120843556,0.321287159,3.389427373,My/oS electrónicos,Asiática
CATL,2021,47688.64634,13099.55707,20205.13034,178.845059,246.6563327,1.220760908,-69.32463269,0.51722234,215080,71.51515152,83601,241685.271,2950.39931,0.018829364,0.423688485,3.640477774,My/oS electrónicos,Asiática
CATL,2022,89539.47765,148732.7639,47179.88,133.5044575,4578.641339,9.704648122,1756.283716,5.113544839,137770,-35.94476474,118914,396756.3113,38503.80391,0.030784349,0.526917079,0.602015825,My/oS electrónicos,Asiática
CATL,2023,101294.9211,27924.86616,56626.70126,20.02298704,6231.814732,11.00508169,36.10619987,6.152149255,101190,-26.55149887,116055,487929.8717,53697.08097,0.223163638,0.559028041,3.627409366,My/oS electrónicos,Asiática
CATL,2024,101294.9211,27924.86616,56626.70126,0,6231.814732,11.00508169,0,6.152149255,158090,56.23085285,116055,487929.8717,53697.08097,0.223163638,0.559028041,3.627409366,My/oS electrónicos,Asiática
CIE Automotive,2011,3063.85607,530.89382,2557.183,0,105.59552,4.129368919,0,3.446490879,820,15.49295775,14335,178387.3736,7366.272759,0.198901392,0.834628958,5.771127775,Autopartes,Neoliberal predominante
